2-gram,*/*,2/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,2/1:2,3/1:2,3/2:3,4/1:2,4/2:3,4/3:4,5/1:2,5/2:3,5/3:4,5/4:5,6/1:2,6/2:3,6/3:4,6/4:5,6/5:6,7/1:2,7/2:3,7/3:4,7/4:5,7/5:6,7/6:7,8/1:2,8/2:3,8/3:4,8/4:5,8/5:6,8/6:7,8/7:8,9/1:2,9/2:3,9/3:4,9/4:5,9/5:6,9/6:7,9/7:8,9/8:9,*/1:2,*/2:3,*/3:4,*/4:5,*/5:6,*/6:7,*/7:8,*/8:9,*/9:10,*/-9:-8,*/-8:-7,*/-7:-6,*/-6:-5,*/-5:-4,*/-4:-3,*/-3:-2,*/-2:-1
JU,1655210583,1525791,9951869,716850182,116342141,182844316,175343349,172899952,107677709,1525791,9951869,1,715663186,783872,403126,114615711,1,1726431,1,122963997,1,59671354,208967,1,152152057,247376,20134984,2808935,1,1,127267280,1,40134513,4814187,683975,1,1,63767605,374678,21016836,18240067,3931636,346892,1,1,1381389519,1405924,197818051,63786557,7429274,2888351,362368,1,1,81269015,187904558,185941049,182875438,143791504,779174338,12671136,1928916
OA,1620913260,1914348,25593231,397733669,428331911,154653132,126397920,249463457,76189278,1914348,18116443,7476789,23052608,373678325,1002738,8086618,339825358,71274289,9145649,1662491,81180351,17348363,53069166,1392765,4273774,77593211,35769946,4611171,3300338,849485,108780,31107120,26635219,3510598,143928661,42460262,1712823,249803,19893110,17553907,3995600,2018614,24003646,8474604,1,57464858,942104255,186708122,78072721,242303486,87019047,21598189,3085293,899057,24866400,31682163,79498220,171307616,134573754,564658851,571354983,24729618
EQ,1614312176,16759747,13533737,1205819,106465409,38942439,186009563,450707560,226336945,16759747,4703910,8829828,680275,269155,256391,105561297,736054,1,168060,33448967,3580051,1913423,1,1,63931655,113609376,8468534,1,1,1,96814612,275821204,77813373,258374,1,1,1,104462080,56188854,60050839,481695,5153481,1,1,1,516191563,564987059,276435338,3606989,250361856,1,1267032,323990,1138356,139991927,379484990,445771587,302692989,123021733,4468105,4973064,26014023
SY,1602829286,989836,3668199,114052885,47797204,527789922,227386150,204423297,103747169,989836,3364900,303300,5426150,1,108626736,20471766,614838,1,26710602,483513692,12265980,1,347949,31662304,185156793,11594946,2134268,1294644,1,27205503,164894378,1215768,3178189,326855,1,1,34808111,81172040,11483577,1323667,6280221,1,111760,1,3375909,1056294123,221193256,116869413,43973211,66652899,34378779,38948170,3375909,630355,152010372,208173954,193717328,505804850,35604971,7447389,4260941,254277734
SL,1575646778,2501133,8360631,106787616,212681663,323024199,184698622,123652273,149115621,2501133,4871656,3488976,97293020,9339458,155140,184703252,22169597,5646540,162277,181228904,93481043,45928540,1591009,794707,90933502,52472804,23300551,14098569,3893200,1,93530396,1553225,12791227,1531172,10102849,4143409,1,20931473,3689244,3618281,1,12642514,4185228,104048886,1,686637093,186378955,109564908,23736405,223980472,13377752,111977099,93632859,41005494,30818493,127006250,236081334,292388858,321145363,194715512,352014678,7102229
PS,1538723475,6838288,27771149,118212643,350079458,301009499,287065566,103388607,63613763,6838288,8523006,19248144,1452568,5355428,111404649,7537778,13566938,9523642,319451103,16566778,5689121,9074744,11504292,258174568,11520037,8357713,11109961,18457028,18613501,219007331,2494759,10992091,6534359,6038184,26657379,18975241,31696600,11023325,1682404,698158,11580336,3248993,9824667,161475,25394412,241868308,66006501,148564874,368748672,313497450,253549622,32582938,29032513,5943706,13458222,6940656,25479485,45145928,35353509,81750637,75219297,1074957986
JO,1516687320,6077197,159856622,359972761,341272159,170210035,262293379,138284034,42117813,6077197,159610875,245748,358241986,220265,1510512,134111597,1187548,204669223,1303794,156197971,295531,10587373,114533,3014631,219206053,472279,37794363,1518905,1489326,1812458,43963150,147789,88851322,4402853,126338,605941,186647,10086045,124093,29266002,1800366,841311,1,1,1,1115075858,2693247,379170919,10459863,5608291,2813373,535719,1,330057,11530065,48590391,249939258,247853598,177445651,372341274,366710158,14150981
LF,1507867868,5889110,2881574,452472260,24414031,371031624,513508609,71434093,24421810,5889110,129579,2751996,1,677906,451794355,1,427167,10050105,13936761,1,15526842,14165908,504657,340834220,1,5247492,84914654,13884748,2619704,406842015,1,1,11898260,2386683,4046989,1259713,51842452,1,2794425,13861066,3145822,3947854,266208,1,406440,6018688,27425823,619419575,38329143,355081917,408946669,52239620,406440,1,13093743,15290604,18706463,21927998,107290955,32791016,15241659,1274297342
NV,1466426244,801425,2662204,7718628,4414849,70054250,119065131,280836403,207147667,801425,380954,2281251,1,6949248,769381,1,4414849,1,1,1,34878431,35175820,1,1,1,90076310,28863904,1,1,124919,1,233894059,45926443,1015903,1,1,1,1,130030915,71983636,5032569,100550,1,1,1,1182378,947884385,486242149,9325893,17790060,363209,3025145,351268,1,172539286,291320782,310982220,145149943,64858785,39590668,7330201,3976973
JE,1463052213,9590811,25597495,90682753,118727225,250738452,452607392,192845191,177791201,9590811,25487806,109690,90682753,1,1,115771636,1008782,1504736,442074,113742741,400437,135555217,740913,299148,40273257,2295053,105638007,304288791,112288,1,26420357,1841203,46307396,115903489,893731,814759,664262,42004045,499211,104496463,29785593,1,160346,717416,128133,469926276,6154371,459462597,520293012,1546014,2437128,1381677,1020545,830601,59158269,90929559,197243755,192809305,337713566,532589615,29969543,11234113
NK,1455100125,1135627,9133782,253575310,577872383,164380187,185625660,184662980,33920780,1135627,1,9133782,566949,1632040,251376323,165493,5193662,121284247,451228984,1,5219170,69542127,81359585,8259308,824798,42928899,98277131,39679262,1643961,2271614,1,1642970,11737936,161460362,4486339,3322369,2013009,1,782996,4848587,12981287,11316604,490110,1772315,1728887,2692864,69092446,568153292,760658080,30581464,11146503,5227310,4272874,2899439,8740594,15276092,11850917,73199664,282152784,121320835,212123244,728923939
KN,1450401609,1033715,302402,580385373,350756460,23770594,111967369,85140335,222368687,1033715,302402,1,580385373,1,1,350756460,1,1,1,22845307,1,807239,118050,1,65621492,1,41171307,5174572,1,1,15475805,1,1491545,63291863,4881125,1,1,189460437,1,388003,2507300,30012950,1,1,1,1231649715,1,100900077,78746627,38247573,113683,332912,411028,1,206007824,16565268,75401083,27241502,485976515,591248306,420451,1033715
GS,1443474877,1836114,4490339,143073238,171263737,336602389,124955584,379077440,152241557,1836114,2500905,1989435,1,1,143073238,1,1,514575,170749163,1,1,715169,1,335887221,1,1,107900,3462462,24901768,96483457,1,1,2989564,13339763,319417,1,362428699,1,1,869610,4279904,12112313,154867,1,134824867,4337018,1989435,148270051,195198008,377975982,102809790,364133798,134824867,43277339,1574841,100180,2988610,15829505,28715807,4778589,27917246,1361099387
DY,1421751252,1136221,6405878,351807417,452722441,131238440,313758023,90938468,41580650,1136221,6269108,136771,10838694,148213,340820512,27273500,669507,525447,424253990,3895166,319800,1,2628000,124395477,40193690,3448538,2342488,2003935,120186,265649191,24347568,1768638,2420483,21845438,1,300241,40256105,11209357,1,1228682,689221,2915422,146063,1,25391910,137503801,6491462,347962353,452895152,131515122,268787925,47152315,25870296,1356555,11434072,29925021,51660709,10793584,55680937,14064099,10122120,1224600263
HY,1412343466,4155656,281455828,26896455,36956822,91658746,144874029,221771132,124832787,4155656,1821647,279634182,11198816,15404028,293613,14586618,7622950,3467023,11280234,10885801,21978820,1,7413615,51380513,17326493,48961762,1,129700,5781971,72674107,38175756,133163991,2879417,1408763,3340362,860160,41942689,29199612,31964539,3024492,3363012,5033467,268054,884421,51095197,279987203,615329138,16649876,31581077,79396456,106393405,55454034,56094468,93978104,84259416,83266886,176221320,81525286,49128909,30642747,35843895,677328869
ZE,1402290617,909969,5469647,211220592,115229725,107761048,133704579,189289603,199936813,909969,4737016,732632,56534297,837624,153848673,4563309,5469629,61236099,43960691,6342054,1801398,7292531,61342406,30982663,24148809,2823904,10363625,4914285,36324371,55129590,1828222,482135,4419417,1789971,50927859,90534509,39307496,3162977,1,1155166,4537972,2315024,1049279,106946278,80770123,105044563,20087072,239887076,117872470,143868874,147241640,151020871,271904570,95817723,4069656,4875157,50368280,20255977,21370190,137659879,706921404,446753467
KS,1339590723,1827938,912228,21815764,763654267,300322176,88731538,59853117,53932699,1827938,385463,526766,1,1,21815764,1,1,278621,763375647,1,1,714159,149255,299458764,1,1,2005802,28692794,1,58032944,116817,1,661248,16811008,2578346,1,39685702,319385,1,210139,24703177,1343066,219325,1,27137612,2872609,526766,25685728,847996103,315000556,58696857,40393676,27686370,17052017,3087825,8727499,8684152,32947287,20159874,32874563,813337,1231483116
XT,1315669491,1112364,1942633,319064921,109386941,141388786,228363601,180827981,195240616,1112364,259285,1683349,1,1,319064921,1,34080943,74948524,357476,1,130654592,10734195,1,1,1,77194644,77649936,1005789,1,72513235,1,144085031,25090327,1,161442,11344772,146413,1,171369212,20973031,1,1583288,1,1,1315088,1371648,683415143,532835978,3983199,2070913,88489050,686916,2639620,177032,40193169,174153449,165570063,102611154,214019034,46259421,86552579,396369871
BS,1292319276,2625810,19654578,60082886,86799267,70739523,146378744,265016733,145597615,2625810,2877541,16777038,1,1516352,58566535,1,2794929,815749,83188591,1,40969208,12699895,1464083,15606340,1,110161247,26034981,1,128013,10054506,1,245746600,11199819,104080,2886406,1,5079832,1,71297156,71717504,1412309,417899,1,1,752751,5503350,696679178,461450621,90596953,20914881,10174123,5663076,752751,401710,158956536,196079864,320008573,122773373,67526165,18381228,6801734,193235746
IK,1209994696,1864295,3443771,738796036,74716063,214931467,41639367,94833459,10896102,1864295,2216078,1227694,548653,735735706,2511679,424601,44812020,25056376,4423069,128595,137024340,4000457,71393501,2384578,1,7841384,3022933,15240853,12291784,3242417,1,34399523,674218,48267693,6280852,4499696,711482,1,471918,215403,1453865,762525,430383,3529939,4032075,5182218,974065510,35810154,146327900,22847145,8172494,4873759,9206840,1272788,12107850,635390,40586143,10360729,189801502,71785197,862144893,21416539
DD,1205446876,2177056,93973596,43023496,141738639,301466876,177912865,235143623,94618066,2177056,3748149,90225448,1,30893822,12129675,1,114517208,26968839,252594,1,31867014,268168497,1431367,1,1,78096638,77268209,21965144,401075,181803,1,122901280,89417277,9348932,13476137,1,1,1,62702904,13781172,3102796,2476259,12343431,211509,1,5925204,626852835,495815733,37344212,19274149,15634192,1866800,2622481,1,92096743,69691965,137566793,171349594,124069370,434473730,63926266,104966572
CY,1176324280,1265739,4587840,16120238,109087526,290562629,83253796,180408301,198001401,1265739,1261983,3325858,3551702,649674,11918864,50637266,1,1,58450261,27962349,997922,1037648,329237,260235477,19004883,716150,6482543,687328,246816,56116081,28120588,574716,3424408,1033028,342900,1,146912666,14902817,1021017,3440807,1411533,1916525,1502402,150910,173655397,167389238,7285332,37090214,64124397,271323015,69831493,157837965,179137907,136624077,17115907,35324715,30687963,37681239,77650152,11479809,2638616,932251747
RP,1173542094,2340358,9944069,11628551,64565734,68508827,221406687,135232958,141417377,2340358,5157604,4786466,1178477,337958,10112118,1,241989,26871439,37452308,1,3229887,60415397,4863545,1,1,4029635,190308775,21284597,2487043,3296641,1,869189,125114868,4667639,3781458,1,799808,1,1221055,103736166,9277540,27067056,115564,1,1,8676437,15123362,691012007,87161482,317522533,15133327,32274711,5374914,1,102248603,94711433,181415643,234362757,238456803,87892773,40528719,58787694
SK,1112771274,1317650,131604591,311343745,321293859,151659200,77065035,63825855,23853010,1317650,38482501,93122091,70205870,16482919,224654958,63927980,175737218,71584048,10044616,78102103,32552104,23883914,15448743,1672340,37762310,1743226,19905224,8536716,6680411,2437153,34878049,1,3943374,7582010,2608965,12543416,2270046,8744953,1,6126724,3267633,881752,1277046,3554907,1,342493710,319637554,358443738,45371780,13873660,16653884,6278319,7097410,1936513,9284170,42350929,44903979,88156494,125537666,282534842,172656136,336172438
XI,1111463634,16462071,39067479,73697377,128138674,150361996,222370425,137185651,162097500,16462071,33855556,5211924,13521394,53124741,7051244,454336,99461009,27943383,279949,356478,54062274,86998133,8339239,605876,328578,32132190,150550988,35122570,3653341,582763,900371,73135390,18640705,24179449,14856539,5473202,1,1,104343658,25302820,9981402,3033745,15680932,3754948,1,65878778,430768823,327953670,95262573,35833325,102253083,43423786,4868201,4470135,7334773,188441537,114847114,81710823,241118200,297951033,140036754,30193822
OE,1089254518,1711334,54739189,609819110,87596892,122249690,53662584,41282916,25705774,1711334,1393601,53345589,4844866,595025109,9949137,1,57609861,20337638,9649395,2457854,77791755,2460888,29086226,10452971,4832110,9750314,15896121,1883289,18466869,2833886,1,19276375,313661,399829,1512779,19118702,661575,885619,1176413,3583436,1657461,3661408,523074,12407549,1810821,18480552,853460887,57128261,47563781,52907082,35312396,15894995,6244362,1684101,18460372,5883911,30823693,16742909,108236515,70562671,700151723,90647036
OY,1020190224,748771,134643644,83088905,166229856,81646898,120555315,163818918,146027149,748771,626836,134016809,348589,75295632,7444686,142930,101909194,13791899,50385836,2534397,32592022,1711816,16232399,28576268,2253284,38661239,2365535,33067528,9774879,34432855,1,9179522,1906757,12439216,134292965,4428231,1572232,1,11264387,1,17333432,79139208,36785648,100687,1403792,6654802,403996427,27220689,131300187,328414376,87525153,31768662,1983349,405202,1127152,11264387,15763397,157223794,138351555,316617554,120932354,258729760
WS,989253675,1672548,1493252,267948892,299926973,76662305,214264409,23174745,39189126,1672548,467445,1025808,368075,1,267580818,180566,1,332071,299414338,1,136382,8209859,2900816,65415251,1,1,4346509,4440739,1,205477163,1,1,5250791,4668795,602108,1,12653054,1,1,33220624,839312,1,1375378,1,3753815,2688631,1162189,349721458,313767544,67681057,218369058,13967563,3897127,16850098,1053894,28983153,34724172,10731822,17870746,16453976,3700330,874991843
LV,984229061,1937711,1591962,4998673,50418536,172146990,106654603,215098651,135189827,1937711,475720,1116243,692112,3077509,1229054,392601,5315106,44491297,219535,337396,2029692,118985281,50605691,188934,1,2716343,38907483,20078081,44851503,101197,1,4760138,19719390,5561606,178269352,6788169,1,1,1,30550090,1,41591822,63047917,1,1,3835536,19015026,263013987,77068610,292509765,72779246,253587789,1831850,266462,2097107,5691573,61445198,52305142,91471758,613582235,150289884,4792669
DL,911886483,4449512,7833146,14309381,33327113,331183534,184963666,148844961,68080261,4449512,3928086,3905061,122709,13040728,1145946,1,4178077,28819109,329929,1,1013408,12992122,317178006,1,1,1,20127802,69201462,95634404,1,1,2890365,2679492,77171623,7388530,58714955,1,1,1,3256956,23548253,11514799,2861283,26898974,1,8500305,25027635,69248062,499471291,117592994,86926538,27516285,43001319,24977404,1285288,3726629,17903302,27188372,136607495,97012623,618185120,9830445
RF,909634942,4438269,3967793,8954635,11787005,4932694,288286932,117109073,192434030,4438269,1909966,2057828,548927,1,8405709,1,205121,2665331,8916555,1,799194,2335174,1514070,284259,1,1,275221100,12445788,1,620046,1,1,40485686,5640591,70982798,1,1,1,178776,104499160,3808068,47869314,35907579,1,171138,6897160,3392764,603498304,35888172,198169102,52970596,6101044,1386051,883474,116158659,71854152,132437962,79423554,338320396,122544116,6822069,26225554
EU,878402091,10920600,10283809,35057670,47222949,223346021,109889822,177327973,94719266,10920600,4363940,5919870,3613780,24665882,6778010,3192524,13501027,28241767,2287634,120147378,32752905,13012393,53534884,3898465,6456202,50721848,4567923,9353140,37895186,895528,103247589,31490036,6447526,5325238,3534293,25506385,1776912,21217858,20797509,13146922,4172097,12645532,3086961,17892190,1760204,281835533,237738050,110837836,76843684,63550485,30824120,42905915,13848585,3547674,45728065,157021972,61307932,191682120,76730531,55061934,203138473,35684579
DG,874188189,1410706,538152,50512695,142569448,160354370,59470217,91621219,287870384,1410706,140937,397216,1,48841539,1671157,1,26146783,116422666,1,1,897755,104203965,55252652,1,1,118292,31898893,26759816,693219,1,1,837813,70999367,8533362,3242125,8008556,1,1,922109,29002857,2152912,235653,1247583,254309275,1,1551642,78161501,358321493,96728360,5275918,10345641,261026619,3650799,56073746,327489,9386189,43335964,79569310,45909788,186716330,505290454,3652672
WR,867361011,1128405,1516437,15439118,289435825,106642062,331879826,76905413,14112082,1128405,1355511,160927,13990070,704729,744321,284015135,1,5420691,1,105130772,1,1388675,122617,1,328483366,1,3396461,1,1,1,55167965,1,20800956,629046,1,307449,1,6400713,1,5395834,527334,1788204,1,1,1,800161511,865655,37402785,1468971,21123206,5415053,923836,1,1,6400713,55306617,348067400,137217488,290438631,15378744,7910993,2033651
XA,834649782,813705,1,6955351,69000714,7717812,420642235,145462121,58700619,813705,1,1,1,4976564,1978788,1,33620128,35078043,302545,1752529,2477557,3373415,1,114314,113168,409796195,9654817,695259,382800,1,346026,118144877,26726300,1,244921,1,1,1,18805286,4212994,35098298,391328,1,192717,1,3025425,680823535,82565387,47574218,17133176,744430,666392,582538,1351457,6411033,21077909,132455566,489772609,13010023,39256589,40630121,3209349
YI,812619096,2614745,3487405,1231550,97263098,258952654,130014657,143784578,51757426,2614745,3159871,327535,1023493,208058,1,37925707,58693838,643555,1,16083188,1,241844347,1025121,1,13295909,1,3460578,112499195,1,758978,7418210,1,1,329966,136036404,1,1,1,1,1,331269,1391148,50035011,1,1,81521117,59229429,246960431,114185548,137530165,50793988,80748714,24611138,16642593,1,8430163,13295909,16628926,43525115,721835510,5036602,3866877
NM,782441942,9590510,3710416,1672844,1007818,9376668,22138245,7420404,17088998,9590510,3256082,454335,1045158,443011,184677,1,1007818,1,1,1,6836031,2417521,123118,1,1,7866387,11751484,2520376,1,1,1,3849000,1765753,827060,978594,1,1,1,7586158,822979,107084,8169464,403317,1,1,13891748,38525837,19939382,3709719,10842974,478914084,169645565,14502834,27999403,5730650,8699142,77848731,74654483,582584746,8372779,3822209,10229520
EB,763383543,1559952,49584414,54587293,57305332,133488514,149056728,157832148,66678789,1559952,3036964,46547451,3017423,49597006,1972866,3105720,47035190,4400484,2763941,1075188,87944568,31982720,11369354,1116688,419915,72571437,11255750,11044673,53407909,357049,1767830,84721045,8435687,58702955,2821418,406265,976954,725564,25311366,3028647,21140837,14461115,558342,876141,576784,15149955,430452771,65185174,158271880,80899727,5160665,4712112,1494537,727705,21113833,46215849,121137399,111792759,179446542,96768076,123094117,55871678
RB,753194670,2094031,4314393,30477694,98166268,158937331,107334871,79323169,111217489,2094031,1360659,2953735,297297,1285124,28895275,1,70381244,27314116,470910,1,8441139,117833057,16069650,16593488,1,7778597,75915551,4777362,9742245,9121120,1,6436418,27926420,10006368,30034924,4668414,250630,1,19836724,49315602,7690106,15418465,18837388,119209,1,3751985,141350264,366535787,45037261,88043620,86661224,8169770,12964239,424829,11120007,49024132,80789531,68619303,135593389,251139363,60559411,60496940
TM,746621026,3300283,7163132,7048470,1535689,19114299,17852498,9546681,204133993,3300283,2255527,4907606,107703,5330711,1610058,1,1264157,271533,1,1,12965421,6148879,1,1,1,1,2560127,13758621,1533752,1,1,1,1083192,8232002,231489,1,1,1,1,1,5796880,176004331,22332784,1,1,5663511,70537170,11909623,50894431,199797830,335849172,52683679,5661730,1705392,35930787,10793008,13139525,98327321,507992750,44649704,9391520,9817945
XC,746076294,546134,486152,767991,5260285,189901588,54239524,136123163,212867233,546134,270099,216054,352750,415242,1,218343,5041943,1,1,1,189657735,243854,1,1,1,53705561,533964,1,1,1,1,135923600,1,199564,1,1,1,1,212867233,1,1,1,1,1,1,1387323,742033551,777817,1680512,197095,1,1,1,1,73515955,213687182,136229130,53705561,190609603,5638545,685340,762187
EH,742240060,4039421,3459951,5468342,13787120,179841945,68439083,150178144,122989439,4039421,439720,3020232,460250,4236882,771212,1,9324129,2065636,2397357,342061,174273429,893654,785833,3546972,1315149,39518032,3217534,23182858,252129,953386,151018,129579002,667813,16911823,1308280,297673,1262541,524635,60522199,546766,9015068,49539208,2841568,1,1,7727015,470429687,15179705,58345472,117649922,62206363,1681681,8319516,1,38673796,129719583,151219742,70494676,260344806,38010734,8798121,15991115
TC,736955049,5214609,18366498,3879122,183159466,56341548,177637848,164171684,59284178,5214609,5882424,12484075,389484,2371318,1118322,1,367618,182791849,1,1,2422563,3170003,50748984,1,1,4350772,154764096,1075372,17447611,1,1,1478264,93481896,56517379,2270457,10423692,1,1,1,12041138,18819415,27113703,773998,535928,1,12203902,23474605,461108953,134360589,64462984,27768222,636333,12226528,463164,3804439,18335146,18808218,130507858,255715914,8046927,280426187,18817004
GY,731420026,886272,3025633,3279430,46608941,171742112,66935851,127121994,74373076,886272,2552959,472675,1092559,1,2186872,3857097,31417663,174201,11159983,2355813,290893,2976528,205607,165913275,3483674,1,995023,1,1,62457156,1052751,16056383,1,1,750849,1,109262014,3052769,5114485,1,193227,8523624,319605,1,57169371,23226789,53588383,6543312,11834246,175900282,63229555,109262014,57275318,152062501,3180355,6496882,19815487,3595414,13666634,36663147,2932765,640067745
JA,729206856,5046794,41059259,109551820,220905671,60488404,146725632,118617580,11639568,5046794,40798862,260398,101887126,1645977,6018719,214276752,1,4414394,2214527,45181392,389805,1768053,12827118,322040,139121295,311338,4280098,1699297,1313608,1,80944917,268814,19630732,15183635,505123,214352,1870013,4386853,287693,3023603,1651798,598151,1102392,589084,1,640482830,5259790,39961520,33724278,2738919,1534011,3018191,2487324,1,5123447,81556619,142778885,66976117,234849689,108287687,63201995,15732486
HN,726288118,716147,1639432,247826623,9238983,40414469,53396118,21590081,131235315,716147,239296,1400137,1,1250079,246576545,1,899962,6888777,1450246,1,1,35171981,4019207,1223283,1,1,43385255,5967089,4043776,1,1,1,7601711,10973754,2737616,1,277003,1,1,13289496,106928815,9713546,1013806,1,289656,955442,3550176,364080032,314072224,18224858,3879561,10298822,6663434,2455150,19517203,13239294,150589910,116093759,76152442,49725560,17510601,254166362
YP,702499947,248545,685775,202212307,144629917,23014760,68550545,41382354,62485249,248545,1,685775,1,202212307,1,600187,110545694,32888734,595305,1,19153201,2256404,1605157,1,1,62808435,3227624,1019747,1494742,1,1,16295538,18783488,483771,1457295,4362266,1,195197,41803825,5489245,1357200,1313210,2717181,9609397,1,1043927,569776437,67351844,9424715,6585121,10291800,23586931,13830208,1,55540811,46268705,22884026,87798103,32566370,133983846,255232070,1529623
ZA,702199297,1367636,2182057,13255317,25280155,42902801,41516354,18779478,57289980,1367636,2027062,154996,4102237,3825857,5327225,3693488,2114723,4752851,14719096,5835741,710817,21820624,5603411,8932212,2635514,1373154,23797023,3474646,4224010,6012012,2473050,1,3539957,7322725,2443228,462351,2538172,2246066,1,14744989,33164988,251537,3038573,281148,3562685,25351580,8583143,78453139,69259445,20628888,37729509,277609419,66078791,57205451,2873882,36202778,88767884,423225807,44035792,38276456,23598668,43283695
GG,697999945,920476,20637087,27158181,17519210,74195283,140830545,131300731,128604246,920476,1,20637087,1,24322549,2835633,1,784540,11607506,5127166,1,162204,68782525,5250556,1,1,1,115494820,23172147,364273,1799308,1,1129782,54987371,16082670,59100911,1,1,1,19791317,73761367,10737809,19215041,5098716,1,1,920476,120676805,393409481,81802016,91220810,7906278,872623,690080,144564,63453518,73789877,81447282,76722624,152433475,158198858,41544881,31489373
YM,667551858,528044,3662667,10383013,24060634,54302674,125273001,155711321,80646351,528044,1,3662667,807143,9575871,1,1,18183364,5068152,809120,1,28353042,11126625,14823009,1,1,31839414,70767285,19307831,317398,3041077,1,106120912,35597975,6074581,2825965,5091892,1,1,30824465,6469862,3790793,28576689,9564041,168284,1252223,1335186,288252119,140049543,55888583,35785804,104049162,13687919,27622340,383122,20998089,37415699,120650833,75985260,235008419,77105802,37347429,9293127
SW,663415954,2698969,3164150,21855899,165188019,173788582,90071543,113201318,49473858,2698969,1160152,2003999,21598677,1,257223,164763817,424203,1,1,60198157,3460307,109988530,141591,1,52960414,1,36672579,438552,1,1,58901457,1,43608771,10448342,242751,1,1,24886527,1,9065505,5159438,9666578,695814,1,1,410049092,5888507,201813353,17177322,21322855,2359449,2013054,2792329,1,25308023,61745270,63260758,122569416,227236441,134037664,1301742,4960189
BJ,654853040,1517161,2403675,324195,993818,121853191,279486935,80292216,80259928,1517161,770404,1633272,1,1,324195,494499,499320,1,1,1,121853191,1,1,1,1,71486710,208000226,1,1,1,147789,7727408,72417021,1,1,1,1,124093,62871523,17264314,1,1,1,1,1,3053942,322858419,327729580,240850,1,1,139653,830601,1,46550780,84297541,24991721,143903730,330347914,499320,770404,3474626
LM,649112314,2425229,5682563,108107206,63795494,289763762,35755014,28055704,35101114,2425229,968125,4714439,1,6628994,101478213,112972,2797982,37000753,23883790,1,225670677,52514867,9642052,1936169,1,5556216,10423002,8244999,253816,11276985,1,8119242,8766148,6926301,2482220,161949,1599849,1,487773,19893995,822211,2945417,1943595,398361,8609768,3506324,254560225,247260927,50728456,8183058,31735703,22300094,29111967,1258286,6705463,14249584,36343805,19115158,281146991,78983721,56261114,155924435
CS,643530724,4743688,17495488,15713805,6401913,73927941,86410928,140451511,101677867,4743688,7881802,9613687,1089734,1347540,13276533,260737,115367,1,6025811,251312,1,2144104,1,71532527,1,3828696,1,275314,1,82306920,1,2035571,1,614878,218356,1,137582709,1,398056,2184313,1,1,1,1,99095500,14392890,17556468,18006339,6916001,71750882,82436262,137582709,99095500,58320364,1,799447,4219883,4080007,1004956,3842871,9229341,619971048
II,642384030,211760645,249107436,97441069,40219282,24101896,10811127,5959394,1549475,211760645,102746801,146360636,942250,42700271,53798550,1757815,448958,14200697,23811815,1,1001504,2937668,5518220,14644507,1,4154965,570851,386034,1504697,4194584,1,1279346,460656,1,3479229,431409,308758,1,504564,1,1,676010,116098,147695,105112,317207508,197217697,72161081,30067841,20304440,4742089,456452,105112,1,1,504564,1279346,4615620,4006177,8310232,167249784,455106417
IX,621227894,19538339,186444154,9927160,194493113,62540986,68488724,56785134,16961189,19538339,1,186444154,1,861258,9065903,1,181223537,357476,12912102,1,24646995,1080932,1,36813061,1,54309514,2204665,3677886,1992200,6304463,1,17777693,620135,452332,3735333,1,34199645,1,13429457,1,1583288,366156,1,1,1582291,19538339,478999175,13329107,18951789,42906747,6304463,39267911,1582291,235888,149981,13429457,18103877,56886411,30210894,191871726,3210932,307208030
XE,614533123,562139,5340135,16535024,205876571,27438195,46665957,120098257,151909668,562139,298762,5041374,1,13714413,2820612,1949543,7827952,196099078,1,853071,14013345,4833290,6651144,1087349,489112,18733579,1205030,1,26108731,129509,1334034,109058669,250460,187713,650548,8461962,154877,255873,135891826,1362181,684723,771691,1,12943379,1,7283681,335234392,209229055,7523578,29486252,8591470,13239384,2844090,849070,21693115,139884268,110909960,21389766,18127318,13870280,267805417,9795855
OH,602121282,64028904,6755874,279423712,23486013,21528203,87354157,41857124,18664823,64028904,2472485,4283390,29393353,246990460,3039901,759064,20657859,1528081,541012,1,19442056,445517,749892,890741,1,52541841,471079,31154014,186014,3001213,196338,33352601,4239593,2865149,170907,1032541,1,1,9079079,2422718,6647871,1,1,515158,1,96850140,394931959,40077233,51226861,11261414,4855504,684826,690607,1542746,21395598,25559617,44613256,63598971,23537345,81821646,255707976,75785156
LK,555883003,1045466,3825383,238275179,53734773,105912851,105499734,26823870,13854785,1045466,1,3825383,1,679156,237596024,1,1730450,43608293,8396032,1,5784395,96685506,3295282,147671,1,1519668,90018564,3698167,267147,9996192,1,7743419,10614739,4779217,1,1,3686498,1,1917001,6886944,1485538,1,1,1449735,2115571,1045466,24775513,487579223,22388178,414817,10834370,5136232,2580481,1128731,1949672,3712535,15364308,13736644,101220377,102292215,49401266,267937560
DV,537221822,1134857,4370846,511199,523846,59251224,87998791,107583334,126692853,1134857,2264917,2105930,308185,1,203015,104175,203915,1,215758,507784,58743441,1,1,1,1,87998791,1,1,1,1,1,107383395,199940,1,1,1,1,1,124322655,1,618154,1752046,1,1,1,4319914,503511960,402954,4598484,23811669,359043,217804,1,1,65829101,135087828,107383395,89995643,60599660,512099,2264917,3659557
