3-gram,*/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,3/1:3,4/1:3,4/2:4,5/1:3,5/2:4,5/3:5,6/1:3,6/2:4,6/3:5,6/4:6,7/1:3,7/2:4,7/3:5,7/4:6,7/5:7,8/1:3,8/2:4,8/3:5,8/4:6,8/5:7,8/6:8,9/1:3,9/2:4,9/3:5,9/4:6,9/5:7,9/6:8,9/7:9,*/1:3,*/2:4,*/3:5,*/4:6,*/5:7,*/6:8,*/7:9,*/8:10,*/9:11,*/-9:-7,*/-8:-6,*/-7:-5,*/-6:-4,*/-5:-3,*/-4:-2,*/-3:-1
NOT,5871622478,4522732627,152498428,167449672,131532190,763474251,42211203,29568306,4522732627,147265981,5232448,161331283,4738253,1380138,122469458,621589,7683070,758076,303808059,446004572,10953543,1929699,778382,22881666,235592,8349821,4383678,5256831,1103620,12147495,326835,8544863,3789693,2851819,1269248,638359,5336001758,457159284,46532256,19199508,9352282,2600502,776894,1,1,16683876,31355921,315510954,580752076,180253237,168143077,4532623644
IVE,5738676235,717774,617097268,905203824,350171738,392773378,682218886,865449111,717774,1895253,615202016,1,805736452,99467373,1,51209501,89957412,209004827,515365,21107181,13093172,190437929,167619735,1,9884515,36290231,44103969,232282479,359657696,1,53802771,51549151,34757639,6989451,85153357,633196747,3128390,1579868849,601975846,499356104,416790681,538288623,822781621,474367362,475653015,23207286,338030568,128109808,92276464,407536367,1589057146,3118563259
WAS,5723542739,5502713969,19227188,37274224,31818613,18196663,5844750,3057366,5502713969,17246515,1980674,36081663,647408,545155,31175472,1,1,643142,17652852,136834,1,237961,169019,4052753,466761,945051,1,247079,133110,2034242,100066,105690,1,1,651690,165682,5713507643,3668852,1595894,881102,1428126,2295446,165682,1,1,2034242,4152818,19181779,33823553,36081663,19030649,5506350745
ECT,5633214661,1138745,11480783,23469887,773274139,1330763814,947946419,1044650577,1138745,179878,11300906,1,5709920,17759968,102708,81438692,1785650,689947092,1289745,245024446,71150691,333885456,679413480,718097,78109478,166337132,492878593,172758971,37144153,269783,20596822,73056949,564647014,324902308,13745223,47432484,4012025,456709896,485146538,2349928818,1885942282,176907177,238754300,23665095,5020026,84783778,240902183,449155994,1707195550,1028538243,538152421,1492495033
REA,5614636635,1344636,574388702,1077400789,849460245,1268605673,760100011,623959543,1344636,360026372,214362331,184587268,872843022,19970501,399163000,254305480,190958120,5033648,502553974,427667749,257878432,79236923,1268599,184556617,339057601,21000118,182241952,31902233,1341495,103922743,261681526,37900239,211777245,3400884,5176378,100534,1859223366,2417247244,604751044,633359790,49019625,9362765,34474538,4980911,739001,205146812,482921987,996617776,1065841802,885333031,1576487587,243531655
COM,5512716987,13673879,356811174,122234562,763922188,735425669,724707106,880607336,13673879,356811174,1,121423370,222201,588993,395425012,1,367629502,867676,570928145,1,109763472,53289094,1444961,602985706,1,65037482,28766741,27157848,759333,841760408,102546,28379374,5614213,1821374,2929426,1,4457415676,324746,875930368,109747292,47330158,20313138,502181,1,462167,947930422,654209882,611465453,480717634,261774954,809192674,17334838
EVE,5367611216,13478015,886589394,1183629186,328247500,1360578401,526321220,273609154,13478015,885431406,1157989,463734328,707335517,12559343,103784720,173489077,44280636,6693070,73149374,470484073,72132858,558732747,186079353,85610947,134603616,18466324,563760,281918462,5158116,25885822,169111112,36394487,203532,28025946,12901172,1087089,1832089159,2154793209,224696592,575993547,539717089,18604638,19448908,1742820,159064,114421962,314492365,273175458,595087400,739502372,2504643450,226754187
PER,5340402299,300402418,18203025,291382538,860156489,790978741,602103212,633742100,300402418,17756873,446153,28297246,24412035,238673259,525285280,4059124,100666817,230145271,638633856,30221637,62758367,22117790,37247095,237778577,56550465,87298793,194343324,18856235,7275823,317757121,170446009,47503016,40200344,16727750,1705383,39402483,2734386904,375202148,1213406208,770243677,118215432,34043187,77179834,10607146,6397058,646291543,878478255,831583945,720048590,309909599,223385974,863055326
INT,5272125237,12988034,1167030657,542249342,292573786,255655548,675433419,614856643,12988034,1145602158,21428500,28018612,22611712,491619020,53692161,69330797,162544572,7006259,48152322,8520862,177207491,4579147,17195730,503136112,5949985,149492165,4899959,4478671,7476532,422657901,2468866,30870715,31543948,70169767,18197972,38947480,3559090226,133403481,1133806440,77571893,131832861,76102916,67509772,88844411,2434080,498406996,568588964,141482772,260581494,376993432,1418093837,623014848
EST,5093021296,23115853,684415298,148218091,428104035,739624654,1039056603,841402297,23115853,4574970,679840329,5090522,80592005,62535566,71078932,66909171,24363985,265751950,22580399,245166007,17107695,91097603,363672954,48026738,106173478,239868267,150547716,74046552,420393857,123015541,168935581,125842372,119478853,143477434,97478400,63174122,516562723,1603185438,529261455,877818503,741540954,725023881,78874268,8113049,5782831,271701522,313231212,402638240,851588330,485923752,374300822,1885509468
STA,5003705571,2264767,108566618,1021410080,865112200,463679640,683101484,568206290,2264767,106525418,2041201,1005382871,1158655,14868556,789609678,50946765,20464044,4091716,280586921,15863932,122281433,38583017,6364341,309441717,2263730,246065644,103015030,20849699,1465669,246341107,47813629,145447764,69466629,51417766,6712938,1006463,2930984459,316162518,641929581,398147827,252428861,291782439,130230696,33072898,8409701,301023018,616518952,604301868,1306119469,1478229819,208015615,33425100
CTI,4965296626,192165,138603,3050723,372341606,344726067,716901060,944863509,192165,1,138603,102575,2033157,914993,1,335567783,36161227,612598,1,63873281,280092476,637532,122781,1,148506980,60547346,501155780,6690957,1,1,16349596,16200424,285988917,612513644,13810932,1,294739,695761695,424605637,937982241,846855513,1072313678,570950011,344183965,31893208,176290965,115166152,392333586,847469265,3332987106,64135074,2292573
ICA,4851083412,825266,7618375,10517086,89224548,613070858,913644341,862017658,825266,1064011,6554365,1,7895917,2621170,580143,3446946,2765501,82431961,295244,6236985,58920677,392047877,155570079,1,1575828,3066391,117873384,782729108,8399634,1,6851224,796389,184193520,110978556,555826421,3371553,2764661,37821626,69059537,878805433,1454350247,760900661,874999791,345518382,176467814,8575865,230309865,625026035,709663133,457711203,2546979011,266918352
IST,4696789777,10267185,121147343,125315489,378117689,585469575,833347229,750985140,10267185,1022963,120124381,245865,31344347,93725279,531361,133226942,48556059,195803330,2669545,383082071,64132648,47860125,87725190,3103541,332896334,100888137,253171641,77733478,65554103,1,131388468,115354994,236202849,83386961,46530191,138121682,17840455,1666195294,462360905,1048547769,468101540,361789061,265442565,120590370,66296049,406778137,221604684,744162951,922944306,703808488,430781046,856539917
EAR,4565761283,29307454,941887390,1604397298,466052663,667932120,531135042,97470511,29307454,59824296,882063095,390094462,1035584328,178718510,19194895,290311880,10866781,145679110,136720888,250646062,121273195,110969339,48322640,46655267,151801969,20306261,305213995,499326,6658229,8167847,30887334,12361983,21889195,100856,4366833,19696469,705618707,2652675640,347294205,700047651,52157038,15736022,63212639,24225539,3043147,14532089,110590701,396447795,322949687,1129039678,1252539914,1316067229
AIN,4507928532,1296073,331864956,729191193,416660490,1220435467,733236109,545589654,1296073,652058,331212899,1575933,121615515,605999747,1,108211517,73215335,235233640,219712,83542301,472972093,121034272,542667093,1,117964293,129056893,244471492,110263512,131479923,724397,33992524,30266430,100014602,248653008,88202501,43736198,4468169,914109635,1322168543,716744955,1046637517,339670241,150809349,4492260,8068138,59401022,60314451,197646576,470527509,1218750643,529735639,1899892441
ONE,4425109106,2148983087,567189406,533484424,175876159,169455743,196174496,329542999,2148983087,68802925,498386482,823032,283613910,249047484,1105309,36216110,55762379,82792364,13257965,9193611,10787461,45078507,91138203,1196356,27178423,10440637,17694605,66074924,73589556,221158,4134371,8281160,30133759,74938183,138124936,73709438,2234711521,882409385,339973489,188773112,289493930,223962959,140983557,33311998,73699136,7811195,18088225,56857178,105592563,182538589,783878449,3247897840
OUR,4406006815,874965042,1165387940,408144943,724213387,405200880,240467962,322821348,874965042,13194936,1152193005,114393,391828461,16202091,137313,521726057,1669472,200680548,253960,323432773,2685461,37919023,40909667,1,132743501,6287781,71523790,28771727,1141167,46441343,33829738,236167,148011446,37656882,1527940,55117838,935106982,2620739326,37290468,545923813,135046287,7443738,120719693,1926377,1024631,95060885,59501927,214613830,503243330,657723004,495582948,2343621096
ITI,4405426645,610383,1384482,4597641,89320736,535304610,830100912,890522134,610383,255838,1128645,292718,941389,3363536,1,71218657,16011407,2090674,1,25097070,490191338,19473052,543153,1,56004598,139106512,626091705,7671516,1226585,2952072,5104308,86524563,365119552,407216922,23482535,122188,4618993,182587196,802359052,1203802369,793962560,653551877,478755512,102529816,124840360,60902205,127903096,436624062,847495523,2803069268,103433259,9193283
RAT,4343095847,14908176,205239878,161813079,332419569,102744831,395278432,599933603,14908176,203345250,1894629,141745005,16008537,4059539,302118354,13735170,14695579,1870469,14711634,15802008,22640105,46199445,3391643,35808052,18718818,84070606,80625750,169781917,6273294,10243680,18249609,35681820,254450518,151313842,129762439,231701,749521828,105416392,224548521,494718974,814907951,912653765,339207788,502880481,188252823,31825619,155817426,385370355,2122740304,818024955,736170690,35282683
NTE,4326059574,112770,5946386,101402352,359194683,618111956,760931329,730275397,112770,1,5946386,1,85163495,16238858,1,46107862,306904965,6181858,1,114679743,208436845,288449922,6545449,1,523005434,128837144,28884100,76380856,3823799,1,365601813,50799729,6276066,26593899,279044454,1959441,112770,2336447149,844730001,431459487,162891200,344926741,75595413,90586716,31493272,253665768,469890868,607392258,286980248,349599919,1208651038,43216262
TIN,4314722176,14157810,29543054,63027013,208603921,878916395,895992496,736492673,14157810,29543054,1,4528543,5000548,53497924,7803526,1840344,141606356,57353698,2449704,648521,21059080,846336959,8422135,4307635,2481302,2844314,254673796,610166791,21518663,1245469,2952072,1453168,222832357,20945655,482932509,4131449,64420855,13556939,238105908,1746320048,652007587,542227510,497153259,305399672,155242570,41590972,166441348,145270210,265140194,329760633,3121903406,162967752
INE,4289473709,938886,502181794,289813248,432451205,663369494,1075320234,596739266,938886,1167551,501014244,4610933,208482170,76720147,1,83656598,123042367,225752242,5598746,39651883,90525514,212355158,315238197,2364766,36723023,5844793,279321933,518315597,232750127,3971210,9018619,11344222,21266260,155898949,192080548,203159464,113758663,923414580,310675169,822406593,1034309610,455098495,430672197,133785562,31470066,50986452,67923853,111786654,88581676,662020219,1534023805,1670344206
DER,4270017147,76206811,5775567,1065972701,630474667,523483048,420204019,393934546,76206811,1377884,4397684,7316660,1,1058656042,15130402,1,206862738,408481529,64819230,1,183561681,182618692,92483448,9397530,1,73195655,85489309,39279503,212842026,1365256,1,74378441,102651453,7806014,99941588,107791799,206974793,4397684,2078251290,872284238,156525078,746004760,148481812,19597211,36036902,83230608,372027469,342226404,257059322,463975095,578166289,1982957628
OME,4215212971,504125,1845996485,459750587,547906554,305786442,333976442,524764268,504125,2215323,1843781163,2815269,454100549,2834771,485438,156628095,11895514,378897510,796319,123361003,1766742,124032892,55829490,277326,191854660,13435142,1554114,57614101,69241104,1,427927798,10483722,7103490,60652316,8277639,10319308,7223285,3221807492,55797721,525812914,221756487,101311801,40336440,28694565,11024464,15676238,441422542,225897679,196597433,236803324,687454182,2384918015
MAN,4170329467,609019193,748889510,548454462,518781855,538988359,339911708,251174902,609019193,746742021,2147490,25355035,605464,522493965,197501943,2794266,130333547,188152102,154959044,2415737,68881141,195711021,117021420,99263648,1928835,102274901,27918127,23566637,84959565,39161886,3309649,26423180,90125623,5333579,12081532,74739459,2234939883,24458597,872121454,551766862,155340403,106761178,197281319,15715660,9075647,50589357,127768162,222154999,408414981,240409931,1113586660,1623875694
PRE,4165466523,44727370,16284225,215964521,134877368,685964746,626761011,824169381,44727370,16284225,1,213144485,2189978,630060,79298701,53861030,726536,991104,564408428,4415119,116235193,517246,388764,615941350,872755,1223223,8723686,1,1,598995686,11912448,199405452,120688,572024,13163088,1,2821774725,76188833,968172214,111790588,9302918,167557967,4107827,2540867,2642732,800133161,959163767,812554705,113543633,414533608,33568718,46737295
ROM,4120910707,7794847,3525835846,69816293,43448502,92923231,150898240,96917539,7794847,53940399,3471895448,64434539,4384229,997527,23026504,10759152,8987318,675531,20391319,69279097,1787623,1182252,282944,25042669,95211724,6037015,488706,23358291,759840,2573457,77964243,5971521,2305054,3077860,669379,4356031,203236655,3759619708,56599587,13637397,52595144,17475828,14690507,1879384,829218,27847139,125083306,139220215,120250900,81782473,96536199,3486762162
TRA,4103386994,1465416,19936259,399322517,241966231,490845997,666871866,466209614,1465416,19184869,751391,334555030,15864392,48903097,165301349,53310697,14148512,9205676,169468004,80038321,45617946,181794468,13927262,224004406,129686475,60442654,241093873,10830697,813766,202994267,55480743,43390631,101839066,40804446,9743782,11956685,1775754411,413530931,390849270,755858247,171457230,192590735,240144849,157500466,4224497,296729223,483389608,782570076,589075803,786274097,254934963,91012284
WHI,4056368487,280394,13674249,3858814216,49873541,40424750,19168158,58750034,280394,13674249,1,3858814216,1,1,46535881,3337661,1,1,39864564,1,560187,1,1,18016660,1,1,1151499,1,1,34742497,1,1,402109,23605430,1,1,4021664322,3337661,560187,1553607,23605430,5520940,126346,1,1,34742497,18016660,39864564,46937989,3893116273,13674249,280394
AVE,4051571915,7348473,3059797325,298115291,270375365,213016759,78722157,60672238,7348473,6818960,3052978366,5134733,98613022,194367538,24907372,10958211,220929647,13580138,120297061,7364114,64212502,13512100,7630986,17726268,15065060,29127052,779682,12404405,3619695,4209482,10523010,38090161,872466,712671,239067,6025387,186442343,3209343766,571734066,32205680,31766800,9007853,9310827,1760587,1,17273693,52790733,183223058,65595564,84159219,355226053,3286323735
STR,4004702366,1512834,630128,34172571,591659280,250694296,817419422,523130939,1512834,247831,382298,31885399,849258,1437916,569614756,5414822,16330210,299495,189957696,3298604,53999201,3337514,101285,443102956,4567903,189496075,5802497,174116238,333758,290496592,14700100,116876961,55367585,13506297,32183409,1,1783306370,46580890,971698581,282830252,552962469,197305562,157765411,3392005,5589825,695301063,908651862,475594868,1043745823,115997412,235192425,4067581
ACT,3996307045,252837317,391690739,177903155,606795436,431730751,693837164,478976161,252837317,79315958,312374782,41615422,75110785,61176950,435612283,88422580,11870634,70889942,68768016,158667775,83772295,6644411,113878258,248078139,29668572,270139203,5988197,27100460,112862598,23076368,31586398,194732027,7079204,183916504,38443170,142496,1281272933,703439858,701596148,91853472,635315845,486214415,70960617,9185468,10735373,102730784,374088138,394560750,1216815145,444789594,238902928,927709443
